Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2022-09-30,2868.113037109375,2882.574980401014,2816.1356653605053,2855.0352025167567,2817353
2022-10-03,2849.403076171875,2883.5296651061894,2838.950363374857,2858.996751280328,1763331
2022-10-04,2950.78076171875,2957.3197963882208,2885.725546959842,2892.3599007960324,2145875
2022-10-06,2961.09033203125,2982.1390876312917,2952.0217272513214,2969.729417932442,1790816
2022-10-07,2925.72216796875,2964.0013119502178,2919.2311438094084,2956.7463362902904,1939879
2022-10-10,2976.936279296875,2985.0025170701933,2868.5425531806627,2873.3155025203973,3064063
2022-10-11,2930.161376953125,3002.1851359080347,2914.69706769696,2959.228591833039,4730645
2022-10-12,2959.945068359375,2968.6794740090895,2923.0024803993847,2944.81472299434,1665247
2022-10-13,2962.37890625,2968.774612018755,2913.7425970787276,2959.944655375291,2054781
2022-10-14,2958.4169921875,3006.9579784905104,2931.5453815696374,3002.1850293183034,2245977
2022-10-17,2978.132568359375,2994.0675298536867,2939.562989208893,2940.7114149067806,1517005
2022-10-18,3009.667724609375,3019.860557831648,2994.211292964294,3014.7401913453245,1793722
2022-10-19,2987.798828125,3023.353525248653,2978.3716905899996,3023.353525248653,1194289
2022-10-20,3021.727294921875,3024.3113116528916,2971.672981861465,2971.672981861465,1587601
2022-10-21,3002.68115234375,3024.6935411540876,2992.727817822873,3022.205324352529,1021913
2022-10-24,3025.937744140625,3041.537875001264,3019.5254863527343,3033.9771914936096,260949
2022-10-25,3026.32080078125,3047.519595293748,3015.8408024183273,3043.930618774206,2069643
2022-10-27,3021.82275390625,3037.7100517988883,2999.762696127038,3024.9811003135037,2438421
2022-10-28,3027.421142578125,3042.016312869539,3009.9547912457765,3014.7400929806663,1355739
2022-10-31,3056.037353515625,3061.6362503748333,3041.346616422352,3061.6362503748333,1919414
2022-11-01,3119.7294921875,3122.505107322174,3065.8948489491063,3076.470412263399,2991060
2022-11-02,3102.50244140625,3129.58729561968,3083.6962992854037,3129.58729561968,1405955
2022-11-03,3069.05322265625,3089.4386544793397,3057.807763744202,3089.4386544793397,1422652
2022-11-04,3079.246337890625,3081.7826883924513,3030.1969876056523,3078.8636071562173,1464013
2022-11-07,3094.845947265625,3103.55528974527,3057.9035586638047,3090.3478104389997,1474498
2022-11-09,3077.954345703125,3110.2551362972677,3064.1725348552204,3110.2551362972677,1162267
2022-11-10,3068.00048828125,3086.5196999438404,3033.8813794796815,3033.8813794796815,1573092
2022-11-11,3173.56494140625,3198.1136851519086,3115.280046320639,3129.205324306324,3265394
2022-11-14,3192.275146484375,3205.1954626221473,3166.913044436156,3181.2689512559027,1342074
2022-11-15,3189.499755859375,3196.534009987308,3150.643008044494,3178.3977611530267,1400708
2022-11-16,3211.27294921875,3223.283871220331,3178.828459013132,3195.529117523424,1748235
2022-11-17,3205.1953125,3215.722977008062,3175.2871746930055,3196.5817688115853,1417986
2022-11-18,3199.883544921875,3218.3548573576004,3178.397585691648,3206.152337267998,1164540
2022-11-21,3142.5078125,3190.55219768189,3132.4586783348564,3179.8331679705348,1304194
2022-11-22,3172.607177734375,3176.4354191551697,3115.4707212604767,3139.157965051644,1149739
